name,latitude,longitude,capacity,type,status,suitability,barangay,operator
Karangalan Elementary School,14.609766,121.106156,,school,POTENTIAL,School - commonly used as evacuation center,,Cainta II District
Karangalan Multi-Purpose Hall,14.60355,121.101805,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Karangalan Multi-Purpose Hall,14.610597,121.102361,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Kiddos Beginnings,14.678924,121.081281,,school,POTENTIAL,School - commonly used as evacuation center,,
King Shepherds Flock Christian Academy Inc.,14.671784,121.118372,,school,POTENTIAL,School - commonly used as evacuation center,,
"Laro, Lapis at Libro, Inc.",14.632543,121.102967,,school,POTENTIAL,School - commonly used as evacuation center,,
Leodegario Victorino Elementary School,14.635407,121.090214,,school,POTENTIAL,School - commonly used as evacuation center,,"District I Marikina City Schools Division, DepEd"
Links School for Life,14.655614,121.093913,,school,POTENTIAL,School - commonly used as evacuation center,,
Lord of the Nation,14.642602,121.099574,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Lorenzo Ruiz de Manila School,14.603303,121.106732,,school,POTENTIAL,School - commonly used as evacuation center,,
MAGIS Academy,14.621331,121.110445,,school,POTENTIAL,School - commonly used as evacuation center,,
Majestic Learning Center,14.662361,121.105065,,school,POTENTIAL,School - commonly used as evacuation center,,
Malanday Multi-purpose Hall,14.651885,121.092046,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Manggahan Elementary School,14.600342,121.09504,,school,POTENTIAL,School - commonly used as evacuation center,,"District IV Pasig City Schools Division, DepEd"
Manggahan High School,14.604492,121.103218,,school,POTENTIAL,School - commonly used as evacuation center,,District I
Mariam Claire Integrated Academy,14.615188,121.101629,,school,POTENTIAL,School - commonly used as evacuation center,,
Marikina Catholic School,14.630554,121.096603,,school,POTENTIAL,School - commonly used as evacuation center,,
Marikina Elementary School MRF,14.631193,121.097574,,sports_complex,POTENTIAL,Sports facility - large covered space,,
Marikina Science High School,14.631636,121.099421,,school,POTENTIAL,School - commonly used as evacuation center,,"District I Marikina City Schools Division, DepEd"
Marikina Sports Park,14.634611,121.098456,,sports_complex,POTENTIAL,Sports facility - large covered space,,
Mega Driving School,14.678614,121.081781,,school,POTENTIAL,School - commonly used as evacuation center,,
Minds in Motion Learning Center,14.646612,121.11514,,school,POTENTIAL,School - commonly used as evacuation center,,
Mirea Residences Clubhouse,14.614764,121.090507,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Morning Dew Montessori School,14.622564,121.104711,,school,POTENTIAL,School - commonly used as evacuation center,,
Mother of Angels,14.633731,121.082796,,school,POTENTIAL,School - commonly used as evacuation center,,
Mountain View Function Hall,14.675795,121.115247,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Multipurpose Hall,14.674798,121.090166,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Nagkaisa sa Nangka HOA Multipurpose Hall,14.669096,121.101633,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Nangka High School,14.670545,121.101969,,school,POTENTIAL,School - commonly used as evacuation center,,"District II Marikina City Schools Division, DepEd"
National Cottage Industry Technical Center,14.641861,121.118333,,school,POTENTIAL,School - commonly used as evacuation center,,
National TVET Trainers Academy,14.632069,121.098993,,school,POTENTIAL,School - commonly used as evacuation center,,Technical Education and Skills Development Authority
